name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
The Dark Knight,2008,2h 32m,PG-13,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9.0,"2,820,011",84,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart
Inception,2010,2h 28m,PG-13,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",8.8,"2,502,859",74,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page
The Matrix,1999,2h 16m,R,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",8.7,"2,017,227",73,Lana Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8.9,"1,971,234",92,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom
The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,9.0,"1,944,212",94,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen
The Dark Knight Rises,2012,2h 44m,PG-13,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",8.4,"1,797,807",78,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway
The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",8.8,"1,752,936",87,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen
Gladiator,2000,2h 35m,R,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,8.5,"1,589,183",67,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen
Batman Begins,2005,2h 20m,PG-13,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",8.2,"1,553,436",70,Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe
The Avengers,2012,2h 23m,PG-13,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,8.0,"1,444,793",69,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson
Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",8.6,"1,429,567",90,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher
Avatar,2009,2h 42m,PG-13,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,7.9,"1,370,170",83,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",8.7,"1,358,842",82,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher
Guardians of the Galaxy,2014,2h 1m,PG-13,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,8.0,"1,256,482",76,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper
Avengers: Endgame,2019,3h 1m,PG-13,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",8.4,"1,237,351",78,Anthony Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo
Léon: The Professional,1994,1h 50m,R,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",8.5,"1,225,182",64,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",8.1,"1,189,824",63,Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom
Avengers: Infinity War,2018,2h 29m,PG-13,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,8.4,"1,176,310",68,Anthony Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
Kill Bill: Vol. 1,2003,1h 51m,R,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",8.2,"1,173,280",69,Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah
V for Vendetta,2005,2h 12m,R,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",8.2,"1,166,165",62,James McTeigue,Hugo Weaving,Natalie Portman,Rupert Graves
