name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
WALL·E,2008,1h 38m,G,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",8.4,"1,179,965",95,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin
The Lion King,1994,1h 28m,G,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",8.5,"1,122,214",88,Roger Allers,Matthew Broderick,Jeremy Irons,James Earl Jones
Up,2009,1h 36m,PG,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",8.3,"1,105,629",88,Pete Docter,Edward Asner,Jordan Nagai,John Ratzenberger
Finding Nemo,2003,1h 40m,G,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",8.2,"1,096,780",90,Andrew Stanton,Albert Brooks,Ellen DeGeneres,Alexander Gould
Toy Story,1995,1h 21m,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,8.3,"1,051,660",96,John Lasseter,Tom Hanks,Tim Allen,Don Rickles
"Monsters, Inc.",2001,1h 32m,G,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",8.1,"962,590",79,Pete Docter,Billy Crystal,John Goodman,Mary Gibbs
Toy Story 3,2010,1h 43m,G,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",8.3,"879,980",92,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack
Spirited Away,2001,2h 5m,PG,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",8.6,"827,541",96,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino
Ratatouille,2007,1h 51m,G,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,8.1,"803,913",96,Brad Bird,Brad Garrett,Lou Romano,Patton Oswalt
The Incredibles,2004,1h 55m,PG,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",8.0,"792,421",90,Brad Bird,Craig T. Nelson,Samuel L. Jackson,Holly Hunter
How to Train Your Dragon,2010,1h 38m,PG,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",8.1,"786,286",75,Dean DeBlois,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse
Inside Out,2015,1h 35m,PG,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",8.1,"768,698",94,Pete Docter,Amy Poehler,Bill Hader,Lewis Black
Shrek,2001,1h 30m,PG,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",7.9,"721,566",84,Andrew Adamson,Mike Myers,Eddie Murphy,Cameron Diaz
Frozen,2013,1h 42m,PG,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",7.4,"655,394",75,Chris Buck,Kristen Bell,Idina Menzel,Jonathan Groff
Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,8.4,"649,374",87,Bob Persichetti,Shameik Moore,Jake Johnson,Hailee Steinfeld
Toy Story 2,1999,1h 32m,G,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",7.9,"611,187",88,John Lasseter,Tom Hanks,Tim Allen,Joan Cusack
Despicable Me,2010,1h 35m,PG,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",7.6,"575,173",72,Pierre Coffin,Steve Carell,Jason Segel,Russell Brand
Coco,2017,1h 45m,PG,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",8.4,"571,895",81,Lee Unkrich,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt
Zootopia,2016,1h 48m,PG,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",8.0,"535,233",78,Byron Howard,Ginnifer Goodwin,Jason Bateman,Idris Elba
Ice Age,2002,1h 21m,PG,"The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat.",7.5,"510,265",61,Chris Wedge,Denis Leary,John Leguizamo,Ray Romano
