name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
The Wolf of Wall Street,2013,3h,R,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,"1,543,377",75,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie
Schindler's List,1993,3h 15m,R,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",9.0,"1,426,299",95,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley
Goodfellas,1990,2h 25m,R,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",8.7,"1,234,457",92,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci
Braveheart,1995,2h 58m,R,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,8.3,"1,078,784",68,Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan
Catch Me If You Can,2002,2h 21m,PG-13,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",8.1,"1,069,626",75,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken
A Beautiful Mind,2001,2h 15m,PG-13,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",8.2,"974,192",72,Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly
The Intouchables,2011,1h 52m,R,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",8.5,"912,125",57,Olivier Nakache,François Cluzet,Omar Sy,Anne Le Ny
The Pianist,2002,2h 30m,R,"During the WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",8.5,"893,570",85,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay
The Imitation Game,2014,1h 54m,PG-13,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",8.0,"813,058",71,Morten Tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode
The Social Network,2010,2h,PG-13,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.",7.8,"747,013",95,David Fincher,Jesse Eisenberg,Andrew Garfield,Justin Timberlake
12 Years a Slave,2013,2h 14m,R,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",8.1,"732,461",96,Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender
The King's Speech,2010,1h 58m,R,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",8.0,"702,192",88,Tom Hooper,Colin Firth,Geoffrey Rush,Helena Bonham Carter
Into the Wild,2007,2h 28m,R,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",8.1,"649,809",73,Sean Penn,Emile Hirsch,Vince Vaughn,Catherine Keener
Argo,2012,2h,R,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",7.7,"633,824",86,Ben Affleck,Ben Affleck,Bryan Cranston,John Goodman
Hacksaw Ridge,2016,2h 19m,R,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",8.1,"579,460",71,Mel Gibson,Andrew Garfield,Sam Worthington,Luke Bracey
Bohemian Rhapsody,2018,2h 14m,PG-13,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",7.9,"578,303",49,Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee
Oppenheimer,2023,3h,R,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,8.4,"577,705",89,Christopher Nolan,Cillian Murphy,Emily Blunt,Matt Damon
The Pursuit of Happyness,2006,1h 57m,PG-13,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career,8.0,"550,474",64,Gabriele Muccino,Will Smith,Thandiwe Newton,Jaden Smith
Green Book,2018,2h 10m,PG-13,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,8.2,"548,684",69,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini
American Sniper,2014,2h 13m,R,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.",7.3,"520,536",72,Clint Eastwood,Bradley Cooper,Sienna Miller,Kyle Gallner
