name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
The Wolf of Wall Street,2013,3h,R,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,"1,543,377",75,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie
Back to the Future,1985,1h 56m,PG,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",8.5,"1,283,203",87,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson
Guardians of the Galaxy,2014,2h 1m,PG-13,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,8.0,"1,256,482",76,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper
The Truman Show,1998,1h 43m,PG,An insurance salesman discovers his whole life is actually a reality TV show.,8.2,"1,168,596",90,Peter Weir,Jim Carrey,Ed Harris,Laura Linney
Up,2009,1h 36m,PG,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",8.3,"1,105,629",88,Pete Docter,Edward Asner,Jordan Nagai,John Ratzenberger
Deadpool,2016,1h 48m,R,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.",8.0,"1,103,883",65,Tim Miller,Ryan Reynolds,Morena Baccarin,T.J. Miller
Finding Nemo,2003,1h 40m,G,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",8.2,"1,096,780",90,Andrew Stanton,Albert Brooks,Ellen DeGeneres,Alexander Gould
Toy Story,1995,1h 21m,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,8.3,"1,051,660",96,John Lasseter,Tom Hanks,Tim Allen,Don Rickles
"Monsters, Inc.",2001,1h 32m,G,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",8.1,"962,590",79,Pete Docter,Billy Crystal,John Goodman,Mary Gibbs
The Intouchables,2011,1h 52m,R,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",8.5,"912,125",57,Olivier Nakache,François Cluzet,Omar Sy,Anne Le Ny
Snatch,2000,1h 42m,R,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",8.2,"896,499",55,Guy Ritchie,Jason Statham,Brad Pitt,Stephen Graham
Toy Story 3,2010,1h 43m,G,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",8.3,"879,980",92,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack
The Grand Budapest Hotel,2014,1h 39m,R,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",8.1,"871,235",88,Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric
The Big Lebowski,1998,1h 57m,R,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",8.1,"849,109",71,Joel Coen,Jeff Bridges,John Goodman,Julianne Moore
The Hangover,2009,1h 40m,R,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",7.7,"831,653",73,Todd Phillips,Zach Galifianakis,Bradley Cooper,Justin Bartha
Once Upon a Time in Hollywood,2019,2h 41m,R,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,7.6,"818,392",83,Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie
Ratatouille,2007,1h 51m,G,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,8.1,"803,913",96,Brad Bird,Brad Garrett,Lou Romano,Patton Oswalt
Thor: Ragnarok,2017,2h 10m,PG-13,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",7.9,"803,440",74,Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett
How to Train Your Dragon,2010,1h 38m,PG,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",8.1,"786,286",75,Dean DeBlois,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse
Amélie,2001,2h 2m,R,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.",8.3,"785,642",69,Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,Rufus
