name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
The Dark Knight,2008,2h 32m,PG-13,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9.0,"2,820,011",84,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart
Pulp Fiction,1994,2h 34m,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.9,"2,177,866",95,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson
The Godfather,1972,2h 55m,R,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",9.2,"1,978,198",100,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan
Se7en,1995,2h 7m,R,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",8.6,"1,762,840",65,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey
Batman Begins,2005,2h 20m,PG-13,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",8.2,"1,553,436",70,Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe
The Wolf of Wall Street,2013,3h,R,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,"1,543,377",75,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie
The Silence of the Lambs,1991,1h 58m,R,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",8.6,"1,519,163",86,Jonathan Demme,Jodie Foster,Anthony Hopkins,Scott Glenn
Joker,2019,2h 2m,R,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",8.4,"1,437,811",59,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz
The Departed,2006,2h 31m,R,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,8.5,"1,399,675",85,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson
The Green Mile,1999,3h 9m,R,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.",8.6,"1,382,080",61,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse
The Godfather Part II,1974,3h 22m,R,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",9.0,"1,342,640",90,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall
Goodfellas,1990,2h 25m,R,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",8.7,"1,234,457",92,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci
Léon: The Professional,1994,1h 50m,R,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",8.5,"1,225,182",64,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman
Kill Bill: Vol. 1,2003,1h 51m,R,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",8.2,"1,173,280",69,Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah
American History X,1998,1h 59m,R,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",8.5,"1,171,328",62,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo
The Usual Suspects,1995,1h 46m,R,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,8.5,"1,130,958",76,Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri
Reservoir Dogs,1992,1h 39m,R,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",8.3,"1,072,124",81,Quentin Tarantino,Harvey Keitel,Tim Roth,Michael Madsen
Catch Me If You Can,2002,2h 21m,PG-13,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",8.1,"1,069,626",75,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken
No Country for Old Men,2007,2h 2m,R,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,8.2,"1,039,041",92,Ethan Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin
Taxi Driver,1976,1h 54m,R,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",8.2,"901,827",94,Martin Scorsese,Robert De Niro,Jodie Foster,Cybill Shepherd
