name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
Bowling for Columbine,2002,2h,R,Filmmaker Michael Moore explores the roots of America's predilection for gun violence.,8.0,"147,941",72,Michael Moore,Michael Moore,Charlton Heston,Marilyn Manson
Fahrenheit 9/11,2004,2h 2m,R,Michael Moore's view on what happened to the United States after September 11 and how the Bush Administration allegedly used the tragic event to push forward its agenda for unjust wars in Afghanistan and Iraq.,7.5,"131,845",67,Michael Moore,Michael Moore,George W. Bush,Ben Affleck
Super Size Me,2004,1h 40m,PG-13,"While examining the influence of the fast food industry, Morgan Spurlock personally explores the consequences on his health of a diet of solely McDonald's food for one month.",7.2,"112,419",73,Morgan Spurlock,Morgan Spurlock,Daryl Isaacs,Chemeeka Walker
Jackass: The Movie,2002,1h 25m,R,Johnny Knoxville and his band of maniacs perform a variety of stunts and gross-out gags on the big screen for the first time.,6.6,"101,248",42,Jeff Tremaine,Johnny Knoxville,Bam Margera,Chris Pontius
The Social Dilemma,2020,1h 34m,PG-13,Explores the dangerous human impact of social networking; tech experts sound the alarm on their own creations.,7.6,"88,269",78,Jeff Orlowski-Yang,Tristan Harris,Jeff Seibert,Bailey Richardson
An Inconvenient Truth,2006,1h 36m,PG,"Filmmaker Davis Guggenheim follows Al Gore on the lecture circuit, as the former presidential candidate campaigns to raise public awareness of the dangers of global warming and calls for immediate action to curb its destructive effects on the environment.",7.4,"84,866",75,Davis Guggenheim,Al Gore,Billy West,George Bush
Jackass Number Two,2006,1h 32m,R,"Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before.",7.0,"79,522",66,Jeff Tremaine,Johnny Knoxville,Steve-O,Chris Pontius
Inside Job,2010,1h 49m,PG-13,Takes a closer look at what brought about the 2008 financial meltdown.,8.2,"78,324",88,Charles Ferguson,Matt Damon,Gylfi Zoega,Andri Snær Magnason
Sicko,2007,2h 3m,PG-13,"A documentary comparing the highly profitable American health care industry to other nations, and HMO horror stories including shotgun deaths.",8.0,"76,594",74,Michael Moore,Michael Moore,Tucker Albrizzi,Tony Benn
Justin Bieber: Never Say Never,2011,1h 45m,G,This documentary follows Justin Bieber with some footage of performances from his 2010 concert tour.,1.7,"76,410",52,Jon M. Chu,Justin Bieber,Boyz II Men,Miley Cyrus
Free Solo,2018,1h 40m,PG-13,"Alex Honnold faces the biggest challenge of his career, climbing El Capitan in Yosemite National Park. He pursues it Free Solo, which means climbing without a rope and alone.",8.1,"75,580",83,Jimmy Chin,Alex Honnold,Tommy Caldwell,Jimmy Chin
Senna,2010,1h 46m,PG-13,"A documentary on Brazilian Formula One racing driver Ayrton Senna, who won the F1 world championship three times before his death at age 34.",8.5,"74,767",79,Asif Kapadia,Ayrton Senna,Reginaldo Leme,John Bisignano
Searching for Sugar Man,2012,1h 26m,PG-13,"Two South Africans set out to discover what happened to their unlikely musical hero, the mysterious 1970s rock n roller, Rodriguez.",8.2,"72,151",79,Malik Bendjelloul,Rodriguez,Stephen 'Sugar' Segerman,Dennis Coffey
The Tinder Swindler,2022,1h 54m,TV-MA,"Posing as a wealthy, jet-setting diamond mogul, he wooed women online, then conned them out of millions of dollars. Now some victims plan for payback.",7.1,"71,532",,Felicity Morris,Simon Leviev,Karan Pugal,Cecilie Fjellhøy
Blackfish,2013,1h 23m,PG-13,"A documentary following the controversial captivity of killer whales, and its dangers for both humans and whales.",8.1,"71,368",83,Gabriela Cowperthwaite,Tilikum,Dave Duffus,Samantha Berg
Exit Through the Gift Shop,2010,1h 27m,R,"Following the style of some of the world's most prolific street artists, an amateur filmmaker makes a foray into the art world.",7.9,"68,332",85,Banksy,Banksy,Mr. Brainwash,Space Invader
Jackass 3D,2010,1h 34m,R,"Johnny Knoxville and company return for the third installment of their TV show spin-off, where dangerous stunts and explicit public displays rule.",7.0,"68,268",56,Jeff Tremaine,Johnny Knoxville,Steve-O,Bam Margera
My Octopus Teacher,2020,1h 25m,TV-G,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.",8.1,"61,717",82,Pippa Ehrlich,Craig Foster,Tom Foster,
Grizzly Man,2005,1h 43m,R,"A devastating and heart-rending take on grizzly bear activists Timothy Treadwell and Amie Huguenard, who were killed in October of 2003 while living among grizzly bears in Alaska.",7.8,"60,716",87,Werner Herzog,Timothy Treadwell,Amie Huguenard,Werner Herzog
Religulous,2008,1h 41m,R,Bill Maher's take on the current state of world religion.,7.6,"60,077",56,Larry Charles,Bill Maher,Tal Bachman,Jonathan Boulden
