name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
The Shawshank Redemption,1994,2h 22m,R,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",9.3,"2,838,620",82,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton
The Dark Knight,2008,2h 32m,PG-13,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9.0,"2,820,011",84,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart
Fight Club,1999,2h 19m,R,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,8.8,"2,274,239",67,David Fincher,Brad Pitt,Edward Norton,Meat Loaf
Forrest Gump,1994,2h 22m,PG-13,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",8.8,"2,212,773",82,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise
Pulp Fiction,1994,2h 34m,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.9,"2,177,866",95,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson
Interstellar,2014,2h 49m,PG-13,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",8.7,"2,034,908",74,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain
The Godfather,1972,2h 55m,R,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",9.2,"1,978,198",100,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8.9,"1,971,234",92,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom
The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,9.0,"1,944,212",94,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen
The Dark Knight Rises,2012,2h 44m,PG-13,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",8.4,"1,797,807",78,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway
Se7en,1995,2h 7m,R,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",8.6,"1,762,840",65,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey
The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",8.8,"1,752,936",87,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen
Django Unchained,2012,2h 45m,R,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",8.5,"1,661,739",81,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio
Gladiator,2000,2h 35m,R,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,8.5,"1,589,183",67,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen
Batman Begins,2005,2h 20m,PG-13,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",8.2,"1,553,436",70,Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe
Inglourious Basterds,2009,2h 33m,R,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",8.4,"1,551,269",69,Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth
The Wolf of Wall Street,2013,3h,R,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,"1,543,377",75,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie
The Silence of the Lambs,1991,1h 58m,R,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",8.6,"1,519,163",86,Jonathan Demme,Jodie Foster,Anthony Hopkins,Scott Glenn
Saving Private Ryan,1998,2h 49m,R,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",8.6,"1,471,986",91,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore
Joker,2019,2h 2m,R,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",8.4,"1,437,811",59,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz
