name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8.9,"1,971,234",92,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom
The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,9.0,"1,944,212",94,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen
The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",8.8,"1,752,936",87,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen
Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",8.6,"1,429,567",90,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher
The Green Mile,1999,3h 9m,R,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.",8.6,"1,382,080",61,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse
Avatar,2009,2h 42m,PG-13,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,7.9,"1,370,170",83,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",8.7,"1,358,842",82,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",8.1,"1,189,824",63,Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom
Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",8.3,"1,105,516",58,Richard Marquand,Mark Hamill,Harrison Ford,Carrie Fisher
Toy Story,1995,1h 21m,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,8.3,"1,051,660",96,John Lasseter,Tom Hanks,Tim Allen,Don Rickles
"Monsters, Inc.",2001,1h 32m,G,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",8.1,"962,590",79,Pete Docter,Billy Crystal,John Goodman,Mary Gibbs
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",8.1,"931,688",85,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint
Thor,2011,1h 55m,PG-13,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",7.0,"889,647",57,Kenneth Branagh,Chris Hemsworth,Anthony Hopkins,Natalie Portman
Toy Story 3,2010,1h 43m,G,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",8.3,"879,980",92,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack
The Hobbit: An Unexpected Journey,2012,2h 49m,PG-13,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",7.8,"861,669",58,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage
Spider-Man: No Way Home,2021,2h 28m,PG-13,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",8.2,"853,223",71,Jon Watts,Tom Holland,Zendaya,Benedict Cumberbatch
Star Wars: Episode I - The Phantom Menace,1999,2h 16m,PG,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",6.5,"844,634",51,George Lucas,Ewan McGregor,Liam Neeson,Natalie Portman
Harry Potter and the Sorcerer's Stone,2001,2h 32m,PG,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",7.6,"841,247",65,Chris Columbus,Daniel Radcliffe,Rupert Grint,Richard Harris
Star Wars: Episode III - Revenge of the Sith,2005,2h 20m,PG-13,"Three years into the Clone Wars, Obi-Wan pursues a new threat, while Anakin is lured by Chancellor Palpatine into a sinister plot to rule the galaxy.",7.6,"833,163",68,George Lucas,Hayden Christensen,Natalie Portman,Ewan McGregor
Spirited Away,2001,2h 5m,PG,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",8.6,"827,541",96,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino
