name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
Sunset Blvd.,1950,1h 50m,Passed,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,8.4,"233,161",94,Billy Wilder,William Holden,Gloria Swanson,Erich von Stroheim
The Third Man,1949,1h 33m,Approved,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",8.1,"179,555",97,Carol Reed,Orson Welles,Joseph Cotten,Alida Valli
Double Indemnity,1944,1h 47m,Passed,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",8.3,"165,310",95,Billy Wilder,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson
The Maltese Falcon,1941,1h 40m,Passed,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered.",8.0,"164,979",97,John Huston,Humphrey Bogart,Mary Astor,Gladys George
Rebecca,1940,2h 10m,Approved,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,8.1,"144,609",86,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders
Strangers on a Train,1951,1h 41m,PG,A psychopathic man tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person.,7.9,"139,524",88,Alfred Hitchcock,Farley Granger,Robert Walker,Ruth Roman
Touch of Evil,1958,1h 35m,PG-13,"A stark, perverse story of murder, kidnapping and police corruption in a Mexican border town.",8.0,"108,778",99,Orson Welles,Charlton Heston,Orson Welles,Janet Leigh
Notorious,1946,1h 42m,Not Rated,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?,7.9,"105,909",100,Alfred Hitchcock,Cary Grant,Ingrid Bergman,Claude Rains
The Night of the Hunter,1955,1h 32m,Not Rated,"A self-proclaimed preacher marries a gullible widow whose young children are reluctant to tell him where their real dad hid the $10,000 he'd stolen in a robbery.",8.0,"95,943",97,Charles Laughton,Robert Mitchum,Shelley Winters,Lillian Gish
The Killing,1956,1h 24m,Approved,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.,7.9,"95,940",91,Stanley Kubrick,Sterling Hayden,Coleen Gray,Vince Edwards
The Big Sleep,1946,1h 54m,Passed,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love.",7.9,"89,647",86,Howard Hawks,Humphrey Bogart,Lauren Bacall,John Ridgely
Shadow of a Doubt,1943,1h 48m,Passed,"A teenage girl, overjoyed when her favorite uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities.",7.8,"69,536",94,Alfred Hitchcock,Teresa Wright,Joseph Cotten,Macdonald Carey
Spellbound,1945,1h 51m,Approved,A psychiatrist protects the identity of an amnesia patient accused of murder while attempting to recover his memory.,7.5,"51,439",78,Alfred Hitchcock,Ingrid Bergman,Gregory Peck,Michael Chekhov
Laura,1944,1h 28m,Passed,A police detective falls in love with the woman whose murder he is investigating.,7.9,"50,484",,Otto Preminger,Gene Tierney,Dana Andrews,Clifton Webb
Key Largo,1948,1h 40m,Approved,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",7.7,"43,485",,John Huston,Humphrey Bogart,Edward G. Robinson,Lauren Bacall
Suspicion,1941,1h 39m,Approved,"A shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her.",7.3,"41,606",83,Alfred Hitchcock,Cary Grant,Joan Fontaine,Cedric Hardwicke
Out of the Past,1947,1h 37m,Approved,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames.",8.0,"40,273",85,Jacques Tourneur,Robert Mitchum,Jane Greer,Kirk Douglas
The Lost Weekend,1945,1h 41m,Passed,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,7.9,"39,582",,Billy Wilder,Ray Milland,Jane Wyman,Phillip Terry
Ace in the Hole,1951,1h 51m,Approved,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",8.1,"38,585",72,Billy Wilder,Kirk Douglas,Jan Sterling,Robert Arthur
To Have and Have Not,1944,1h 40m,Passed,"During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer.",7.8,"37,550",90,Howard Hawks,Humphrey Bogart,Lauren Bacall,Walter Brennan
