name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
Schindler's List,1993,3h 15m,R,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",9.0,"1,426,299",95,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley
Braveheart,1995,2h 58m,R,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,8.3,"1,078,784",68,Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan
12 Years a Slave,2013,2h 14m,R,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",8.1,"732,461",96,Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender
Dunkirk,2017,1h 46m,PG-13,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",7.8,"723,064",94,Christopher Nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance
The King's Speech,2010,1h 58m,R,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",8.0,"702,192",88,Tom Hooper,Colin Firth,Geoffrey Rush,Helena Bonham Carter
Hacksaw Ridge,2016,2h 19m,R,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",8.1,"579,460",71,Mel Gibson,Andrew Garfield,Sam Worthington,Luke Bracey
Oppenheimer,2023,3h,R,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,8.4,"577,705",89,Christopher Nolan,Cillian Murphy,Emily Blunt,Matt Damon
The Big Short,2015,2h 10m,R,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is.",7.8,"473,174",81,Adam McKay,Christian Bale,Steve Carell,Ryan Gosling
Black Hawk Down,2001,2h 24m,R,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.",7.7,"418,212",74,Ridley Scott,Josh Hartnett,Ewan McGregor,Tom Sizemore
Downfall,2004,2h 36m,R,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",8.2,"370,575",82,Oliver Hirschbiegel,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes
Hotel Rwanda,2004,2h 1m,PG-13,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",8.1,"368,600",79,Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix
Pearl Harbor,2001,3h 3m,PG-13,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,6.2,"348,179",44,Michael Bay,Ben Affleck,Kate Beckinsale,Josh Hartnett
Bridge of Spies,2015,2h 22m,PG-13,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",7.6,"324,685",81,Steven Spielberg,Tom Hanks,Mark Rylance,Alan Alda
Public Enemies,2009,2h 20m,R,"The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson, and Pretty Boy Floyd during a booming crime wave in the 1930s.",7.0,"315,594",70,Michael Mann,Christian Bale,Johnny Depp,Christian Stolte
Zero Dark Thirty,2012,2h 37m,R,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.",7.4,"315,382",95,Kathryn Bigelow,Jessica Chastain,Joel Edgerton,Chris Pratt
Apollo 13,1995,2h 20m,PG,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,7.7,"310,642",78,Ron Howard,Tom Hanks,Bill Paxton,Kevin Bacon
Kingdom of Heaven,2005,2h 24m,R,"Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people.",7.2,"308,311",63,Ridley Scott,Orlando Bloom,Eva Green,Liam Neeson
The Patriot,2000,2h 45m,R,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,7.2,"289,850",63,Roland Emmerich,Mel Gibson,Heath Ledger,Joely Richardson
Robin Hood,2010,2h 20m,PG-13,"In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",6.6,"280,623",53,Ridley Scott,Russell Crowe,Cate Blanchett,Matthew Macfadyen
Lincoln,2012,2h 30m,PG-13,"As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",7.3,"270,058",87,Steven Spielberg,Daniel Day-Lewis,Sally Field,David Strathairn
