name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
The Shining,1980,2h 26m,R,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",8.4,"1,088,024",66,Stanley Kubrick,Jack Nicholson,Shelley Duvall,Danny Lloyd
Alien,1979,1h 57m,R,The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.,8.5,"933,747",89,Ridley Scott,Sigourney Weaver,Tom Skerritt,John Hurt
I Am Legend,2007,1h 41m,PG-13,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",7.2,"801,553",65,Francis Lawrence,Will Smith,Alice Braga,Charlie Tahan
Psycho,1960,1h 49m,R,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",8.5,"708,228",97,Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles
World War Z,2013,1h 56m,PG-13,Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself.,7.0,"707,701",63,Marc Forster,Brad Pitt,Mireille Enos,Daniella Kertesz
American Psycho,2000,1h 42m,R,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",7.6,"694,534",64,Mary Harron,Christian Bale,Justin Theroux,Josh Lucas
Get Out,2017,1h 44m,R,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",7.8,"676,478",85,Jordan Peele,Daniel Kaluuya,Allison Williams,Bradley Whitford
Zombieland,2009,1h 28m,R,"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.",7.6,"611,697",73,Ruben Fleischer,Jesse Eisenberg,Emma Stone,Woody Harrelson
It,2017,2h 15m,R,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",7.3,"594,120",69,Andy Muschietti,Bill Skarsgård,Jaeden Martell,Finn Wolfhard
Shaun of the Dead,2004,1h 39m,R,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.",7.9,"585,977",76,Edgar Wright,Simon Pegg,Nick Frost,Kate Ashfield
A Quiet Place,2018,1h 30m,PG-13,A family struggles for survival in a world where most humans have been killed by blind but noise-sensitive creatures. They are forced to communicate in sign language to keep the creatures at bay.,7.5,"571,237",82,John Krasinski,Emily Blunt,John Krasinski,Millicent Simmonds
The Conjuring,2013,1h 52m,R,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,7.5,"545,989",68,James Wan,Patrick Wilson,Vera Farmiga,Ron Livingston
Split,2016,1h 57m,PG-13,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,7.3,"538,829",63,M. Night Shyamalan,James McAvoy,Anya Taylor-Joy,Haley Lu Richardson
Doctor Strange in the Multiverse of Madness,2022,2h 6m,PG-13,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.",6.9,"464,865",60,Sam Raimi,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor
Saw,2004,1h 43m,R,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",7.6,"459,882",46,James Wan,Cary Elwes,Leigh Whannell,Danny Glover
The Thing,1982,1h 49m,R,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,8.2,"457,563",57,John Carpenter,Kurt Russell,Wilford Brimley,Keith David
The Exorcist,1973,2h 2m,R,"When a young girl is possessed by a mysterious entity, her mother seeks the help of two Catholic priests to save her life.",8.1,"447,705",82,William Friedkin,Ellen Burstyn,Max von Sydow,Linda Blair
Predator,1987,1h 47m,R,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,7.8,"446,792",47,John McTiernan,Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall
The Cabin in the Woods,2011,1h 35m,R,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",7.0,"443,911",72,Drew Goddard,Kristen Connolly,Chris Hemsworth,Anna Hutchison
28 Days Later,2002,1h 53m,R,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",7.5,"437,022",73,Danny Boyle,Cillian Murphy,Naomie Harris,Christopher Eccleston
