name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
Whiplash,2014,1h 46m,R,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,8.5,"957,417",89,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist
The Pianist,2002,2h 30m,R,"During the WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",8.5,"893,570",85,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay
La La Land,2016,2h 8m,PG-13,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",8.0,"648,346",94,Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt
Baby Driver,2017,1h 53m,R,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",7.5,"593,504",86,Edgar Wright,Ansel Elgort,Jon Bernthal,Jon Hamm
Bohemian Rhapsody,2018,2h 14m,PG-13,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",7.9,"578,303",49,Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee
Coco,2017,1h 45m,PG,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",8.4,"571,895",81,Lee Unkrich,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt
Green Book,2018,2h 10m,PG-13,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,8.2,"548,684",69,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini
Amadeus,1984,2h 40m,PG,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",8.4,"421,880",87,Milos Forman,F. Murray Abraham,Tom Hulce,Elizabeth Berridge
A Star Is Born,2018,2h 16m,R,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,7.6,"411,310",88,Bradley Cooper,Lady Gaga,Bradley Cooper,Sam Elliott
Soul,2020,1h 40m,PG,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",8.0,"367,182",83,Pete Docter,Jamie Foxx,Tina Fey,Graham Norton
"O Brother, Where Art Thou?",2000,1h 47m,PG-13,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",7.7,"326,757",69,Joel Coen,George Clooney,John Turturro,Tim Blake Nelson
Pitch Perfect,2012,1h 52m,PG-13,"Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.",7.1,"326,426",66,Jason Moore,Anna Kendrick,Brittany Snow,Rebel Wilson
School of Rock,2003,1h 49m,PG-13,"After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band.",7.2,"324,540",82,Richard Linklater,Jack Black,Mike White,Joan Cusack
8 Mile,2002,1h 50m,R,"Follows a young rapper in the Detroit area, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.",7.2,"315,002",77,Curtis Hanson,Eminem,Brittany Murphy,Kim Basinger
Almost Famous,2000,2h 2m,R,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,7.9,"289,974",90,Cameron Crowe,Billy Crudup,Patrick Fugit,Kate Hudson
Some Like It Hot,1959,2h 1m,Passed,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",8.2,"280,089",98,Billy Wilder,Marilyn Monroe,Tony Curtis,Jack Lemmon
Walk the Line,2005,2h 16m,PG-13,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",7.8,"262,846",72,James Mangold,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin
Dirty Dancing,1987,1h 40m,PG-13,"Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle.",7.0,"251,072",65,Emile Ardolino,Patrick Swayze,Jennifer Grey,Jerry Orbach
Rio,2011,1h 36m,PG,"When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.",6.9,"244,444",63,Carlos Saldanha,Jesse Eisenberg,Anne Hathaway,George Lopez
Tarzan,1999,1h 28m,G,A man raised by gorillas must decide where he really belongs when he discovers he is a human.,7.3,"242,975",79,Chris Buck,Tony Goldwyn,Minnie Driver,Brian Blessed
