name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
The Lion King,1994,1h 28m,G,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",8.5,"1,122,214",88,Roger Allers,Matthew Broderick,Jeremy Irons,James Earl Jones
Frozen,2013,1h 42m,PG,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",7.4,"655,394",75,Chris Buck,Kristen Bell,Idina Menzel,Jonathan Groff
La La Land,2016,2h 8m,PG-13,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",8.0,"648,346",94,Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt
Charlie and the Chocolate Factory,2005,1h 55m,PG,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",6.7,"517,833",72,Tim Burton,Johnny Depp,Freddie Highmore,David Kelly
Tangled,2010,1h 40m,PG,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",7.7,"485,111",71,Nathan Greno,Mandy Moore,Zachary Levi,Donna Murphy
Beauty and the Beast,1991,1h 24m,G,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,8.0,"474,629",95,Gary Trousdale,Paige O'Hara,Robby Benson,Jesse Corti
Aladdin,1992,1h 30m,G,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,8.0,"456,990",86,Ron Clements,Scott Weinger,Robin Williams,Linda Larkin
The Wizard of Oz,1939,1h 42m,G,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",8.1,"422,410",92,Victor Fleming,Judy Garland,Frank Morgan,Ray Bolger
Sweeney Todd: The Demon Barber of Fleet Street,2007,1h 56m,R,"The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett.",7.3,"383,286",83,Tim Burton,Johnny Depp,Helena Bonham Carter,Alan Rickman
The Nightmare Before Christmas,1993,1h 16m,PG,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",7.9,"370,696",82,Henry Selick,Danny Elfman,Chris Sarandon,Catherine O'Hara
Moana,2016,1h 47m,PG,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",7.6,"368,486",81,Ron Clements,Auli'i Cravalho,Dwayne Johnson,Rachel House
Les Misérables,2012,2h 38m,PG-13,"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",7.5,"342,550",63,Tom Hooper,Hugh Jackman,Russell Crowe,Anne Hathaway
Beauty and the Beast,2017,2h 9m,PG,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",7.1,"329,603",65,Bill Condon,Emma Watson,Dan Stevens,Luke Evans
Mulan,1998,1h 27m,G,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",7.7,"310,426",72,Tony Bancroft,Ming-Na Wen,Eddie Murphy,BD Wong
The Greatest Showman,2017,1h 45m,PG,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,7.5,"304,486",48,Michael Gracey,Hugh Jackman,Michelle Williams,Zac Efron
Moulin Rouge!,2001,2h 7m,PG-13,A poor Bohemian poet in 1890s Paris falls for a beautiful courtesan and nightclub star coveted by a jealous duke.,7.6,"296,455",66,Baz Luhrmann,Nicole Kidman,Ewan McGregor,John Leguizamo
Grease,1978,1h 50m,PG,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",7.2,"295,619",70,Randal Kleiser,John Travolta,Olivia Newton-John,Stockard Channing
Corpse Bride,2005,1h 17m,PG,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",7.4,"294,875",83,Tim Burton,Johnny Depp,Helena Bonham Carter,Emily Watson
The Jungle Book,2016,1h 46m,PG,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",7.4,"289,141",77,Jon Favreau,Neel Sethi,Bill Murray,Ben Kingsley
The Little Mermaid,1989,1h 23m,G,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,7.6,"286,657",88,Ron Clements,Jodi Benson,Samuel E. Wright,Rene Auberjonois
