name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
Se7en,1995,2h 7m,R,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",8.6,"1,762,840",65,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey
Shutter Island,2010,2h 18m,R,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.",8.2,"1,421,840",63,Martin Scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo
The Prestige,2006,2h 10m,PG-13,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",8.5,"1,416,318",66,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson
The Green Mile,1999,3h 9m,R,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.",8.6,"1,382,080",61,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse
Memento,2000,1h 53m,R,A man with short-term memory loss attempts to track down his wife's murderer.,8.4,"1,302,808",83,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano
The Usual Suspects,1995,1h 46m,R,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,8.5,"1,130,958",76,Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri
Gone Girl,2014,2h 29m,R,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",8.1,"1,047,107",79,David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris
The Sixth Sense,1999,1h 47m,PG-13,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.",8.2,"1,036,514",64,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette
A Beautiful Mind,2001,2h 15m,PG-13,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",8.2,"974,192",72,Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",8.1,"931,688",85,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint
Donnie Darko,2001,1h 53m,R,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",8.0,"838,790",88,Richard Kelly,Jake Gyllenhaal,Jena Malone,Mary McDonnell
Spirited Away,2001,2h 5m,PG,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",8.6,"827,541",96,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino
Prisoners,2013,2h 33m,R,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",8.1,"787,638",70,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Viola Davis
The Batman,2022,2h 56m,PG-13,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",7.8,"756,802",72,Matt Reeves,Robert Pattinson,Zoë Kravitz,Jeffrey Wright
Knives Out,2019,2h 10m,PG-13,"A detective investigates the death of the patriarch of an eccentric, combative family.",7.9,"753,854",82,Rian Johnson,Daniel Craig,Chris Evans,Ana de Armas
Arrival,2016,1h 56m,PG-13,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,7.9,"749,179",81,Denis Villeneuve,Amy Adams,Jeremy Renner,Forest Whitaker
Psycho,1960,1h 49m,R,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",8.5,"708,228",97,Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles
Apocalypse Now,1979,2h 27m,R,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,8.4,"700,073",94,Francis Ford Coppola,Martin Sheen,Marlon Brando,Robert Duvall
Now You See Me,2013,1h 55m,PG-13,"An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.",7.2,"697,118",50,Louis Leterrier,Jesse Eisenberg,Common,Mark Ruffalo
Harry Potter and the Chamber of Secrets,2002,2h 41m,PG,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,7.4,"679,914",63,Chris Columbus,Daniel Radcliffe,Rupert Grint,Emma Watson
