name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
"Food, Inc.",2008,1h 34m,PG,An unflattering look inside America's corporate controlled food industry.,7.8,"51,989",80,Robert Kenner,Michael Pollan,Eric Schlosser,Richard Lobb
Before the Flood,2016,1h 36m,PG,"A look at how climate change affects our environment and what society can do to prevent the demise of endangered species, ecosystems and native communities across the planet.",8.2,"28,682",63,Fisher Stevens,Leonardo DiCaprio,Ban Ki-moon,Alejandro G. Iñárritu
Born Into Brothels: Calcutta's Red Light Kids,2004,1h 25m,R,"Two documentary filmmakers chronicle their time in Sonagchi, Calcutta and the relationships they developed with children of prostitutes who work the city's notorious red light district.",7.2,"17,853",78,Zana Briski,Kochi,Avijit Halder,Shanti Das
Requiem for the American Dream,2015,1h 13m,Not Rated,Renowned academic and author Noam Chomsky elucidates 10 principles of concentration of wealth and power that have led to unprecedented inequality and the hollowing out of the American middle class.,8.1,"9,825",,Peter D. Hutchison,Noam Chomsky,Alan Greenspan,Malcolm X
The Square,2013,1h 35m,Not Rated,"A group of Egyptian revolutionaries battle leaders and regimes, risking their lives to build a new society of conscience.",8.0,"9,328",84,Jehane Noujaim,Ahmed Hassan,Khalid Abdalla,Magdy Ashour
Racing Extinction,2015,1h 30m,Not Rated,A documentary that follows undercover activists trying to stave off a man-made mass extinction.,8.2,"8,147",81,Louie Psihoyos,Elon Musk,Joel Sartore,Louie Psihoyos
The True Cost,2015,1h 32m,PG-13,The True Cost is a documentary film exploring the impact of fashion on people and the planet.,7.7,"7,249",46,Andrew Morgan,Livia Giuggioli,Stella McCartney,Vandana Shiva
Terms and Conditions May Apply,2013,1h 19m,Not Rated,"A documentary that exposes what corporations and governments learn about people through Internet and cell phone usage, and what can be done about it ... if anything.",7.3,"6,519",68,Cullen Hoback,Max Schrems,Moby,Mark Zuckerberg
The Age of Stupid,2009,1h 32m,Not Rated,A future archivist looks at old footage from the year 2008 to understand why humankind failed to address climate change.,7.0,"4,670",,Franny Armstrong,Pete Postlethwaite,Jehangir Wadia,Alvin DuVernay
The Weight of Chains,2010,2h 5m,Not Rated,"The Weight of Chains is a Canadian documentary film that takes a critical look at the role that the US, NATO and the EU played in the tragic breakup of a once peaceful and prosperous European state - Yugoslavia. The film, bursting with rare stock footage never before seen by Western audiences, is a creative first-hand look at why the West intervened in the Yugoslav conflict, with an impressive roster of interviews with academics, diplomats, media personalities and ordinary citizens of the former Yugoslav republics. This film also presents positive stories from the Yugoslav wars - people helping each other regardless of their ethnic background, stories of bravery and self-sacrifice.",8.1,"4,514",,Boris Malagurski,Rade Aleksic,James Bissett,John Bosnitch
