name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
Guardian of Angels,2018,56m,7.2,"This documentary focused the life of Mohammad Bzeek, is a 62-year-old foster parent who takes in terminally ill children in Los Angeles.", (2.6K),"2,565",,Ensar Altay,Mohamed Bzeek,,
Santa Camp,2022,1h 32m,TV-MA,"Every summer, a horde of professional Santas, Mrs. Clauses and elves descend on a campsite in the New Hampshire woods to learn the tricks of their trade. But this year is different.",6.7,824,,Nick Sweeney,Dan Greenleaf,,
Heroes Manufactured,2016,1h 30m,8.2,A documentary following Canadian artists and their ability to break into the comic book industry while dealing with fandom and the craze of comic book conventions in Canada., (507),507,,Yaron Betan,Neal Adams,Vitaly S. Alexius,Gillian Anderson
Foreigners out! Schlingensiefs Container,2002,1h 30m,7.7,"FOREIGNERS OUT! SCHLINGENSIEFS CONTAINER is a thrilling, insightful, funny chronicle and reflection of one of he biggest public pranks and acts of art terrorism ever committed. Austria 2000: Right after the FPÖ under Jörg Haider had become part of the government, the first time an extreme right wing party became state officials after WW2, infamous German shock director Christoph Schlingensief showed a very unique form of protest. Realising public xenophobia and the new hate politics in the most drastic ways possible, he installed a public concentration camp right in the middle of Vienna's touristic heart, right beside the picturesque opera where hundreds of tourists and locals pass by daily. And it was no concentration camp you had ever feared to return from the old times, but one that cynically reflected our new multimedia culture. Satirising reality TV shows, ""Big Brother"" especially, a dozen asylum seekers were surveilled by a multitude of cameras, could be fed and watched by passer-by's and two were thrown out of the country through web-voting. The way fascism looks in the 21st century: Bright. Sensational. Interactive. Funny - and frightening. Austria freaked out. Thousands of screaming people gathered. Attacks with knifes, beatings, acid occurred. Political intrigues. Headlines all over Europe. 800,000 worldwide joined via internet. An incredibly heated week, capturing the European right-wing drift in real time. Democracy the hard way.", (332),332,,Paul Poet,Christoph Schlingensief,Matthias Lilienthal,Rainer Laux
Cannes - A Film makers story,2023,1h,2.7,"This is a detailed documentary that follows the true stories and experiences of actors, actresses, Directors and producers that work on films in these modern times. Lee Westwick and Swaylee loughnane explore if it has become easier with the ever growing technology at our fingertips to write, produce, direct and publish films.", (303),303,,Swaylee Loughnane,Thomas Brodie-Sangster,Jennifer Aniston,Timothée Chalamet
The Kardashians: Reality Royalty,2020,1.1, (273),"The Kardashian family rose to success in 2007 and they are still in the spotlight over a decade later, appealing to an audience of all ages. They have filmed their lives day in and day out, sharing everything from proposals to childbirth, through tears and laughter. With millions of selfies among them and a wide variety of product endorsements, the Kardashians are winning awards and breaking the Internet. They are the royal family of reality TV.",Rate,273,,Danielle Winter,Blac Chyna,Caitlyn Jenner,Kendall Jenner
24 Hours on Craigslist,2005,1h 22m,5.3,This is about Craig Newmark popular classified ads website and the diverse postings that occur on the site in a single day., (218),218,Metascore,Michael Ferris Gibson,Rachel Berney,Mike Curtis,Holly Dalton
The Adonis Factor,2010,1h 9m,Not Rated,Gay men and their pursuit of physical perfection.,5.4,212,,Christopher Hines,Anthony O'Brien,Shane Stiel,Dakota Rivers
Call for Peace,2022,9.6, (206),Call For Peace gives voice to young people around the world calling for world cooperation and an end to the war in Ukraine.,Rate,206,,Diane Paloma Eskenazi,Nino Dalakishvili,Joshua Driessen,Khyati Eda
Morning of the Earth,1972,1h 19m,7.4,"The film portrays surfers living in spiritual harmony with nature, making their own boards (and homes) as they traveled in search of the perfect wave across Australia's north-east coast, Bali and Hawaii.", (183),183,,Albert Falzon,Chris Brock,Stephen Cooney,Terry Fitzgerald
