name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
Forrest Gump,1994,2h 22m,PG-13,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",8.8,"2,212,773",82,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise
Titanic,1997,3h 14m,PG-13,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",7.9,"1,260,139",75,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane
Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",8.3,"1,059,650",89,Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson
Good Will Hunting,1997,2h 6m,R,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",8.3,"1,041,019",71,Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck
Slumdog Millionaire,2008,2h,R,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""",8.0,"870,412",84,Danny Boyle,Dev Patel,Freida Pinto,Saurabh Shukla
Amélie,2001,2h 2m,R,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.",8.3,"785,642",69,Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,Rufus
Silver Linings Playbook,2012,2h 2m,R,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",7.7,"735,240",81,David O. Russell,Bradley Cooper,Jennifer Lawrence,Robert De Niro
Life Is Beautiful,1997,1h 56m,PG-13,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",8.6,"731,919",59,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini
Shrek,2001,1h 30m,PG,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",7.9,"721,566",84,Andrew Adamson,Mike Myers,Eddie Murphy,Cameron Diaz
The Curious Case of Benjamin Button,2008,2h 46m,PG-13,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",7.8,"685,974",70,David Fincher,Brad Pitt,Cate Blanchett,Tilda Swinton
Groundhog Day,1993,1h 41m,PG,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",8.0,"672,262",72,Harold Ramis,Bill Murray,Andie MacDowell,Chris Elliott
Her,2013,2h 6m,R,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",8.0,"657,410",91,Spike Jonze,Joaquin Phoenix,Amy Adams,Scarlett Johansson
La La Land,2016,2h 8m,PG-13,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",8.0,"648,346",94,Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt
Cast Away,2000,2h 23m,PG-13,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,7.8,"628,157",73,Robert Zemeckis,Tom Hanks,Helen Hunt,Paul Sanchez
The Notebook,2004,2h 3m,PG-13,An elderly man reads to a woman with dementia the story of two young lovers whose romance is threatened by the difference in their respective social classes.,7.8,"607,312",53,Nick Cassavetes,Gena Rowlands,James Garner,Rachel McAdams
Casablanca,1942,1h 42m,PG,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,8.5,"598,198",100,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid
The Great Gatsby,2013,2h 23m,PG-13,"A writer and wall street trader, Nick Carraway, finds himself drawn to the past and lifestyle of his mysterious millionaire neighbor, Jay Gatsby, amid the riotous parties of the Jazz Age.",7.2,"585,221",55,Baz Luhrmann,Leonardo DiCaprio,Carey Mulligan,Joel Edgerton
"Crazy, Stupid, Love.",2011,1h 58m,PG-13,"A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",7.4,"553,816",68,Glenn Ficarra,Steve Carell,Ryan Gosling,Julianne Moore
500 Days of Summer,2009,1h 35m,PG-13,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",7.7,"547,572",76,Marc Webb,Zooey Deschanel,Joseph Gordon-Levitt,Geoffrey Arend
Love Actually,2003,2h 15m,R,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",7.6,"524,762",55,Richard Curtis,Hugh Grant,Martine McCutcheon,Liam Neeson
