name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
Inception,2010,2h 28m,PG-13,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",8.8,"2,502,859",74,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page
Interstellar,2014,2h 49m,PG-13,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",8.7,"2,034,908",74,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain
The Matrix,1999,2h 16m,R,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",8.7,"2,017,227",73,Lana Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
The Avengers,2012,2h 23m,PG-13,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,8.0,"1,444,793",69,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson
Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",8.6,"1,429,567",90,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher
The Prestige,2006,2h 10m,PG-13,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",8.5,"1,416,318",66,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson
Avatar,2009,2h 42m,PG-13,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,7.9,"1,370,170",83,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",8.7,"1,358,842",82,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher
Back to the Future,1985,1h 56m,PG,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",8.5,"1,283,203",87,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson
Guardians of the Galaxy,2014,2h 1m,PG-13,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,8.0,"1,256,482",76,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper
Avengers: Endgame,2019,3h 1m,PG-13,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",8.4,"1,237,351",78,Anthony Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo
WALL·E,2008,1h 38m,G,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",8.4,"1,179,965",95,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin
Avengers: Infinity War,2018,2h 29m,PG-13,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,8.4,"1,176,310",68,Anthony Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
V for Vendetta,2005,2h 12m,R,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",8.2,"1,166,165",62,James McTeigue,Hugo Weaving,Natalie Portman,Rupert Graves
Terminator 2: Judgment Day,1991,2h 17m,R,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",8.6,"1,156,417",75,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong
Iron Man,2008,2h 6m,PG-13,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",7.9,"1,109,680",79,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard
Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",8.3,"1,105,516",58,Richard Marquand,Mark Hamill,Harrison Ford,Carrie Fisher
Mad Max: Fury Road,2015,2h,R,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.",8.1,"1,065,491",90,George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult
Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",8.3,"1,059,650",89,Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson
Jurassic Park,1993,2h 7m,PG-13,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,8.2,"1,048,719",68,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum
