name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
Million Dollar Baby,2004,2h 12m,PG-13,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",8.1,"713,952",86,Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman
Rocky,1976,2h,PG,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,8.1,"618,341",70,John G. Avildsen,Sylvester Stallone,Talia Shire,Burt Young
Rush,2013,2h 3m,R,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,8.1,"505,638",74,Ron Howard,Daniel Brühl,Chris Hemsworth,Olivia Wilde
Warrior,2011,2h 20m,PG-13,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",8.1,"492,036",71,Gavin O'Connor,Tom Hardy,Nick Nolte,Joel Edgerton
Cars,2006,1h 57m,G,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life.",7.2,"458,325",73,John Lasseter,Owen Wilson,Bonnie Hunt,Paul Newman
Moneyball,2011,2h 13m,PG-13,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,7.6,"455,868",87,Bennett Miller,Brad Pitt,Robin Wright,Jonah Hill
Ford v Ferrari,2019,2h 32m,PG-13,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,8.1,"450,229",81,James Mangold,Matt Damon,Christian Bale,Jon Bernthal
The Fighter,2010,1h 56m,R,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",7.8,"385,054",79,David O. Russell,Mark Wahlberg,Christian Bale,Amy Adams
Raging Bull,1980,2h 9m,R,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",8.1,"374,255",90,Martin Scorsese,Robert De Niro,Cathy Moriarty,Joe Pesci
The Blind Side,2009,2h 9m,PG-13,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",7.6,"355,678",53,John Lee Hancock,Quinton Aaron,Sandra Bullock,Tim McGraw
Real Steel,2011,2h 7m,PG-13,"In the near future, robot boxing is a top sport. A struggling ex-boxer feels he's found a champion in a discarded robot.",7.1,"350,621",56,Shawn Levy,Hugh Jackman,Evangeline Lilly,Dakota Goyo
The Wrestler,2008,1h 49m,R,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",7.9,"317,305",80,Darren Aronofsky,Mickey Rourke,Marisa Tomei,Evan Rachel Wood
Creed,2015,2h 13m,PG-13,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",7.6,"306,354",82,Ryan Coogler,Michael B. Jordan,Sylvester Stallone,Tessa Thompson
Jerry Maguire,1996,2h 19m,R,"When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague.",7.3,"283,064",77,Cameron Crowe,Tom Cruise,Cuba Gooding Jr.,Renée Zellweger
Dodgeball: A True Underdog Story,2004,1h 32m,PG-13,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,6.7,"263,640",55,Rawson Marshall Thurber,Ben Stiller,Christine Taylor,Vince Vaughn
Southpaw,2015,2h 4m,R,"After a fatal incident sends him on a rampant path of destruction, a champion boxer fights to get custody of his daughter and revive his professional career.",7.3,"254,100",57,Antoine Fuqua,Jake Gyllenhaal,Rachel McAdams,Oona Laurence
Happy Gilmore,1996,1h 32m,PG-13,A rejected hockey player puts his skills to the golf course to save his grandmother's house.,7.0,"243,095",31,Dennis Dugan,Adam Sandler,Christopher McDonald,Julie Bowen
The Karate Kid,1984,2h 6m,PG,A martial arts master agrees to teach karate to a bullied teenager.,7.3,"240,610",60,John G. Avildsen,Ralph Macchio,Pat Morita,Elisabeth Shue
"I, Tonya",2017,1h 59m,R,"Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",7.5,"237,707",77,Craig Gillespie,Margot Robbie,Sebastian Stan,Allison Janney
Rocky Balboa,2006,1h 42m,PG,"Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon.",7.1,"229,337",63,Sylvester Stallone,Sylvester Stallone,Antonio Tarver,Milo Ventimiglia
