name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
The Dark Knight,2008,2h 32m,PG-13,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9.0,"2,820,011",84,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart
Inception,2010,2h 28m,PG-13,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",8.8,"2,502,889",74,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page
The Dark Knight Rises,2012,2h 44m,PG-13,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",8.4,"1,797,833",78,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway
Se7en,1995,2h 7m,R,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",8.6,"1,762,840",65,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey
The Silence of the Lambs,1991,1h 58m,R,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",8.6,"1,519,163",86,Jonathan Demme,Jodie Foster,Anthony Hopkins,Scott Glenn
Joker,2019,2h 2m,R,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",8.4,"1,437,811",59,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz
Shutter Island,2010,2h 18m,R,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.",8.2,"1,421,866",63,Martin Scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo
The Prestige,2006,2h 10m,PG-13,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",8.5,"1,416,335",66,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson
The Departed,2006,2h 31m,R,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,8.5,"1,399,675",85,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson
Memento,2000,1h 53m,R,A man with short-term memory loss attempts to track down his wife's murderer.,8.4,"1,302,808",83,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano
Léon: The Professional,1994,1h 50m,R,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",8.5,"1,225,200",64,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman
Kill Bill: Vol. 1,2003,1h 51m,R,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",8.2,"1,173,308",69,Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah
V for Vendetta,2005,2h 12m,R,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",8.2,"1,166,176",62,James McTeigue,Hugo Weaving,Natalie Portman,Rupert Graves
The Usual Suspects,1995,1h 46m,R,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,8.5,"1,130,971",76,Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri
Reservoir Dogs,1992,1h 39m,R,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",8.3,"1,072,141",81,Quentin Tarantino,Harvey Keitel,Tim Roth,Michael Madsen
Mad Max: Fury Road,2015,2h,R,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.",8.1,"1,065,514",90,George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult
Jurassic Park,1993,2h 7m,PG-13,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,8.2,"1,048,719",68,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum
Gone Girl,2014,2h 29m,R,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",8.1,"1,047,107",79,David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris
No Country for Old Men,2007,2h 2m,R,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,8.2,"1,039,041",92,Ethan Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin
The Sixth Sense,1999,1h 47m,PG-13,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.",8.2,"1,036,514",64,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette
