name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
Inglourious Basterds,2009,2h 33m,R,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",8.4,"1,551,296",69,Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth
Saving Private Ryan,1998,2h 49m,R,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",8.6,"1,472,011",91,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore
Braveheart,1995,2h 58m,R,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,8.3,"1,078,790",68,Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan
The Pianist,2002,2h 30m,R,"During the WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",8.5,"893,579",85,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay
The Imitation Game,2014,1h 54m,PG-13,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",8.0,"813,071",71,Morten Tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode
Full Metal Jacket,1987,1h 56m,R,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,8.3,"779,272",78,Stanley Kubrick,Matthew Modine,R. Lee Ermey,Vincent D'Onofrio
Life Is Beautiful,1997,1h 56m,PG-13,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",8.6,"731,919",59,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini
Dunkirk,2017,1h 46m,PG-13,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",7.8,"723,078",94,Christopher Nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance
Apocalypse Now,1979,2h 27m,R,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,8.4,"700,084",94,Francis Ford Coppola,Martin Sheen,Marlon Brando,Robert Duvall
Pan's Labyrinth,2006,1h 58m,R,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",8.2,"695,450",98,Guillermo del Toro,Ivana Baquero,Ariadna Gil,Sergi López
Wonder Woman,2017,2h 21m,PG-13,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",7.4,"691,398",76,Patty Jenkins,Gal Gadot,Chris Pine,Robin Wright
1917,2019,1h 59m,R,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",8.2,"656,875",78,Sam Mendes,Dean-Charles Chapman,George MacKay,Daniel Mays
Casablanca,1942,1h 42m,PG,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,8.5,"598,200",100,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid
Hacksaw Ridge,2016,2h 19m,R,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",8.1,"579,476",71,Mel Gibson,Andrew Garfield,Sam Worthington,Luke Bracey
Fury,2014,2h 14m,R,"A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.",7.6,"533,378",64,David Ayer,Brad Pitt,Shia LaBeouf,Logan Lerman
American Sniper,2014,2h 13m,R,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.",7.3,"520,546",72,Clint Eastwood,Bradley Cooper,Sienna Miller,Kyle Gallner
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",8.4,"511,527",97,Stanley Kubrick,Peter Sellers,George C. Scott,Sterling Hayden
The Hurt Locker,2008,2h 11m,R,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",7.5,"469,187",95,Kathryn Bigelow,Jeremy Renner,Anthony Mackie,Brian Geraghty
Tropic Thunder,2008,1h 47m,R,"Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.",7.1,"441,524",71,Ben Stiller,Ben Stiller,Jack Black,Robert Downey Jr.
Platoon,1986,2h,R,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",8.1,"432,985",92,Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe
