name,year,runtime,agerating,summary,userrating,noofusers,metascore,director,star1,star2,star3
Django Unchained,2012,2h 45m,R,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",8.5,"1,661,774",81,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio
The Revenant,2015,2h 36m,R,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,8.0,"857,318",76,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Will Poulter
"The Good, the Bad and the Ugly",1966,2h 58m,Approved,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,8.8,"799,168",90,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef
The Hateful Eight,2015,2h 48m,R,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",7.8,"647,259",68,Quentin Tarantino,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh
Back to the Future Part III,1990,1h 58m,PG,"Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered.",7.4,"473,939",55,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Mary Steenburgen
Unforgiven,1992,2h 10m,R,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",8.2,"430,794",85,Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman
True Grit,2010,1h 50m,PG-13,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,7.6,"353,840",80,Ethan Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld
Once Upon a Time in the West,1968,2h 46m,PG-13,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,8.5,"345,142",82,Sergio Leone,Henry Fonda,Charles Bronson,Claudia Cardinale
3:10 to Yuma,2007,2h 2m,R,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,7.7,"327,584",76,James Mangold,Russell Crowe,Christian Bale,Ben Foster
Rango,2011,1h 47m,PG,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.",7.3,"288,413",75,Gore Verbinski,Johnny Depp,Isla Fisher,Timothy Olyphant
Dances with Wolves,1990,3h 1m,PG-13,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.",8.0,"285,797",72,Kevin Costner,Kevin Costner,Mary McDonnell,Graham Greene
Wind River,2017,1h 47m,R,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets.",7.7,"275,127",73,Taylor Sheridan,Elizabeth Olsen,Jeremy Renner,Graham Greene
For a Few Dollars More,1965,2h 12m,R,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,8.2,"270,346",74,Sergio Leone,Clint Eastwood,Lee Van Cleef,Gian Maria Volontè
Hell or High Water,2016,1h 42m,R,"Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch.",7.6,"247,624",88,David Mackenzie,Chris Pine,Ben Foster,Jeff Bridges
The Lone Ranger,2013,2h 30m,PG-13,"Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",6.4,"242,698",37,Gore Verbinski,Johnny Depp,Armie Hammer,William Fichtner
Cowboys & Aliens,2011,1h 59m,PG-13,"A spaceship arrives in 1873 Arizona to take over the Earth, starting with the Wild West region. All that stands in their way: a posse of cowboys and natives.",6.0,"229,879",50,Jon Favreau,Daniel Craig,Harrison Ford,Olivia Wilde
A Fistful of Dollars,1964,1h 39m,R,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",7.9,"229,032",65,Sergio Leone,Clint Eastwood,Gian Maria Volontè,Marianne Koch
The Magnificent Seven,2016,2h 12m,PG-13,Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.,6.9,"225,301",54,Antoine Fuqua,Denzel Washington,Chris Pratt,Ethan Hawke
Butch Cassidy and the Sundance Kid,1969,1h 50m,PG,"In 1890s Wyoming, Butch Cassidy and The Sundance Kid lead a band of outlaws. When a train robbery goes wrong, they find themselves on the run with a posse hard on their heels. After considering their options, they escape to South America.",8.0,"224,702",66,George Roy Hill,Paul Newman,Robert Redford,Katharine Ross
A Million Ways to Die in the West,2014,1h 56m,R,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his newly found courage to the test when her husband, a notorious gun-slinger, announces his arrival.",6.1,"196,398",44,Seth MacFarlane,Seth MacFarlane,Charlize Theron,Liam Neeson
